3.1412,101.68653,1453975,56;
35.83266,50.99155,1448075,1341;
27.70169,85.3206,1442271,1296;
-2.91673,104.7458,1441500,5;
30.19679,71.47824,1437230,126;
8.72742,77.6838,1435844,49;
21.0245,105.84117,1431270,10;
49.98081,36.25272,1430885,113;
27.18333,78.01667,1430055,166;
-31.4135,-64.18105,1428214,395;
38.08,46.2919,1424641,1396;
55.0415,82.9346,1419007,164;
35.15472,126.91556,1416938,47;
40.19559,29.06013,1412701,155;
22.29941,73.20812,1409476,46;
-1.45583,-48.50444,1407737,15;
41.88669,123.94363,1400646,83;
-0.22985,-78.52495,1399814,2854;
32.71571,-117.16472,1394928,15;
33.6,130.41667,1392289,3;
-18.91368,47.53613,1391433,1274;
34.68361,112.45361,1390581,149;
25.39242,68.37366,1386330,40;
40.84985,-73.86641,1385108,19;
10.16202,-68.00765,1385083,457;
32.15567,74.18705,1384471,230;
10.96854,-74.78132,1380425,24;
28.15861,113.62709,1380000,79;
32.5027,-117.00371,1376457,97;
-11.66089,27.47938,1373770,1260;
-30.03306,-51.23,1372741,46;
-6.17806,106.63,1372124,18;
-17.78629,-63.18117,1364389,433;
36.60056,114.46778,1358318,66;
0.31628,32.58219,1353189,1223;
56.8519,60.6122,1349772,255;
22.80979,89.56439,1342339,8;
4.04827,9.70428,1338082,19;
29.44768,75.67206,1324570,218;
21.42664,39.82563,1323624,333;
-5.14861,119.43194,1321717,6;
35.52056,139.71722,1306785,1;
-6.28862,106.71789,1303569,39;
40.65222,109.82222,1301768,1066;
32.78306,-96.80667,1300092,139;
24.46861,39.61417,1300000,603;
3.86667,11.51667,1299369,726;
12.65,-8,1297281,338;
19.99727,73.79096,1289497,584;
-6.99306,110.42083,1288084,18;
-4.26613,15.28318,1284609,284;
18.62292,73.80696,1284606,571;
56.32867,44.00205,1284164,141;
31.95522,35.94503,1275857,757;
7.20417,124.43972,1273715,4;
44.80401,20.46513,1273651,120;
-34.90328,-56.18816,1270737,34;
-15.40669,28.28713,1267440,1277;
34.03189,113.86299,1265536,71;
19.2437,73.13554,1262255,10;
19.19704,72.96355,1261517,23;
48.13743,11.57549,1260391,524;
33.9,35.48333,1251739,35;
29.61031,52.53113,1249942,1545;
37.00167,35.32889,1248988,41;
37.29111,127.00889,1242724,58;
45.46427,9.18951,1236837,127;
18.54349,-72.33881,1234742,53;
19.40061,-99.01483,1232220,2235;
-34.92866,138.59863,1225235,59;
28.98002,77.70636,1223184,228;
19.23114,82.54826,1220946,578;
28.41124,77.31316,1220229,209;
34.008,71.57849,1218773,340;
7.07306,125.61278,1212504,13;
21.97473,96.08359,1208099,83;
29.37455,113.09481,1200000,43;
19.4517,-70.69703,1200000,199;
15.64453,32.47773,1200000,391;
41.12361,122.99,1199275,55;
34.18045,117.15707,1199193,37;
28.66535,77.43915,1199191,214;
-6.4,106.81861,1198129,92;
35.90807,139.65657,1193350,16;
19.49392,-99.11075,1193161,2284;
19.21667,73.08333,1193000,11;
-25.96553,32.58322,1191613,70;
26.06139,119.30611,1179720,14;
22.29161,70.79322,1177362,140;
-32.94682,-60.63932,1173533,38;
26.58333,106.71667,1171633,1087;
-16.67861,-49.25389,1171195,766;
-23.46278,-46.53333,1169577,774;
50.08804,14.42076,1165581,202;
25.31668,83.01041,1164404,86;
55.67594,12.56553,1153615,14;
42.69751,23.32415,1152556,562;
32.87519,13.18746,1150989,21;
4.77742,7.0134,1148665,16;
34.4,132.45,1143841,16;
26.86879,100.22072,1137600,2397;
25.0657,55.17128,1137347,3;
53.20007,50.15,1134730,117;
54.99244,73.36859,1129281,90;
6.33815,5.62575,1125058,88;
25.67507,-100.31847,1122874,543;
7.16083,124.475,1121974,5;
40.37767,49.89201,1116513,-23;
21.12908,-101.67374,1114626,1806;
11.84692,13.15712,1112449,325;
55.78874,49.12214,1104738,61;
40.18111,44.51361,1093485,994;
31.62234,74.87534,1092450,244;
12.36566,-1.53388,1086505,299;
35.88333,139.63333,1077730,14;
47.23135,39.72328,1074482,74;
25.44478,81.84322,1073438,99;
37.65639,126.835,1073069,19;
37.05944,37.3825,1065975,842;
17.68009,83.20161,1063178,24;
38.26667,140.86667,1063103,53;
55.15402,61.42915,1062919,219;
40.09361,113.29139,1052678,1054;
41.69411,44.83368,1049498,491;
31.64615,120.74221,1047700,9;
24.1469,120.6839,1040725,91;
10.01115,77.47772,1034724,300;
34.33778,108.70261,1034081,387;
54.74306,55.96779,1033338,158;
48.4593,35.03865,1032822,100;
37.43861,127.13778,1031935,80;
-22.90556,-47.06083,1031554,686;
23.16697,79.95006,1030168,416;
22.57688,88.31857,1027672,8;
32.62639,116.99694,1027655,47;
37.33939,-121.89496,1026908,23;
48.023,37.80224,1024700,223;
53.33306,-6.24889,1024027,17;
51.05011,-114.08529,1019942,1042;
50.85045,4.34878,1019022,28;
19.87757,75.34226,1016441,588;
48.71939,44.50183,1011417,65;
-22.75917,-43.45111,1002118,36;
23.5418,116.36581,1001985,7;
46.47747,30.73262,1001558,58;
35.99502,119.40259,1000000,67;
18.53017,73.85263,1000000,559;
33.85181,130.85034,997536,57;
17.67152,75.91044,997281,473;
38.85111,115.49028,995652,17;
14.64072,-90.51327,994938,1508;
41.28861,123.765,987717,212;
20.72356,-103.38479,987516,1568;
52.48142,-1.89983,984333,149;
58.01046,56.25017,982419,149;
34.08565,74.80555,975857,1589;
11.11128,7.7227,975153,644;
12.13282,-86.2504,973087,108;
-33.96109,25.61494,967677,75;
34.03313,-5.00028,964891,406;
50.93333,6.95,963395,58;
35.53722,129.31667,962865,10;
